TIMESTAMP,POWER,U10,V10,U100,V100
20150417 19:00,0.625237819299982,1.29578,-5.51162,1.50154,-9.49325
20150417 20:00,0.553391473819061,0.829972,-4.94865,0.825992,-8.87188
20150417 21:00,0.508496019646225,0.731404,-4.55196,0.773725,-8.35988
20150417 22:00,0.550363361208683,0.475454,-4.23429,0.549051,-7.93944
20150417 23:00,0.50763110408998,-0.104924,-3.67272,-0.288954,-7.25478
20150418 00:00,0.475645116273196,-0.572601,-2.96024,-1.21775,-6.2087
20150418 01:00,0.387693648912453,-0.518907,-2.46327,-1.36188,-5.02924
20150418 02:00,0.234130475423667,-0.492814,-2.70179,-1.17771,-4.44922
20150418 03:00,0.0880046526814104,-0.101031,-2.97336,-0.728466,-4.06491
20150418 04:00,0.0744514958324946,0.142141,-2.91713,-0.375197,-3.81938
20150418 05:00,0.0744821840191767,0.00762749,-2.67299,-0.403333,-3.38156
20150418 06:00,0.0755934536347956,0.154282,-1.61861,-0.0614653,-2.78255
20150418 07:00,0.123406259003926,0.382508,-1.30559,0.403747,-1.90734
20150418 08:00,0.161400316709538,1.01314,-0.963949,1.08162,-1.12826
20150418 09:00,NA,1.90603,-0.764839,2.0693,-0.785429
20150418 10:00,0.159922343031897,2.84854,-0.777047,3.22942,-0.738088
20150418 11:00,0.382040022438446,3.81731,-1.19717,4.54498,-1.32771
20150418 12:00,0.39021267315522,4.24498,-1.73593,5.17719,-2.05922
20150418 13:00,0.408041786009747,4.10477,-1.7543,4.99594,-2.14231
20150418 14:00,0.427024669557287,4.44818,-1.70824,5.4073,-2.10183
20150418 15:00,0.552083792203607,4.88372,-2.18575,6.04931,-2.82737
20150418 16:00,0.668984735611537,4.59086,-2.42234,5.72201,-3.1623
20150418 17:00,0.602536915774602,4.47466,-4.13313,5.72991,-5.4669
20150418 18:00,0.662711472767594,4.10288,-3.80867,5.40078,-5.31774
20150418 19:00,0.679229701864068,4.35352,-2.95576,6.43108,-4.91121
20150418 20:00,0.697292316601846,4.79965,-2.38002,7.41078,-4.39566
20150418 21:00,0.73000895173755,4.96037,-2.03683,7.72573,-4.10052
20150418 22:00,0.65440682369355,4.78174,-2.0601,7.51999,-4.09896
20150418 23:00,0.411674664558166,3.80643,-2.19698,6.018,-4.23356
20150419 00:00,0.094069315349429,1.83022,-1.93272,3.12886,-3.92487
20150419 01:00,0.0427650674622098,-2.91531,-2.02134,-5.00402,-3.0894
20150419 02:00,0.271934120556593,-4.05133,-2.01856,-6.40061,-2.64644
20150419 03:00,0.258643053532378,-4.22672,-2.27855,-6.65293,-2.9392
20150419 04:00,0.188221444098765,-4.50329,-2.50366,-7.09796,-3.40537
20150419 05:00,0.217559894835424,-4.61573,-2.0766,-7.41601,-2.84853
20150419 06:00,0.401005994903794,-4.63534,-1.34001,-7.06641,-1.60359
20150419 07:00,0.611187232056263,-4.88589,-0.245511,-6.60091,-0.118133
20150419 08:00,0.573105759993222,-4.4285,0.182735,-5.73845,0.39413
20150419 09:00,0.286440752360594,-4.00819,0.127915,-5.1206,0.238599
20150419 10:00,0.161718723026464,-3.40792,-0.052803,-4.42151,-0.0986385
20150419 11:00,0.06074905418312,-3.15106,-0.0935812,-4.25301,-0.25355
20150419 12:00,0.118672358740874,-2.72596,0.280996,-3.87998,0.127541
20150419 13:00,0.170248981389096,-1.76865,0.436991,-2.69019,0.377196
20150419 14:00,0.189748875688446,-0.58254,-0.0298662,-1.29553,-0.126881
20150419 15:00,0.215758552334403,0.626133,-0.568848,0.0215349,-0.783198
20150419 16:00,0.242153730946665,1.48998,-0.921863,1.07193,-1.23989
20150419 17:00,0.246799696935399,2.54288,-0.921483,2.53859,-1.45639
20150419 18:00,0.23540438802771,2.67511,-1.10382,3.14875,-2.31906
20150419 19:00,0.142299438899803,1.65579,-1.46337,1.9224,-3.09309
20150419 20:00,0.12799096687529,0.749068,-2.72408,0.0674915,-4.42105
20150419 21:00,0.154526984946994,-0.716607,-3.21735,-2.10884,-6.43631
20150419 22:00,0.216061177023154,-0.903715,-2.89113,-2.30375,-6.00325
20150419 23:00,0.13620723363606,-0.555222,-2.68661,-1.64165,-5.68935
20150420 00:00,0.14513804024546,0.0101357,-2.674,-0.531906,-5.42325
20150420 01:00,0.235557112470424,0.0317316,-3.25419,-0.0574875,-6.83203
20150420 02:00,0.242722703415838,0.809458,-3.38859,1.47649,-6.95994
20150420 03:00,0.310711621333659,1.22472,-3.77734,2.179,-7.44749
20150420 04:00,0.447899707429474,1.15889,-4.16201,1.92071,-7.96875
20150420 05:00,0.38290726667221,0.993391,-4.19276,1.31428,-7.79618
20150420 06:00,0.389559683912453,0.628727,-4.26526,0.30316,-7.04211
20150420 07:00,0.285427218131919,-0.288122,-3.73423,-1.29087,-5.6037
20150420 08:00,0.359682842107295,-1.11901,-3.17292,-2.55359,-4.28374
20150420 09:00,0.291214932929675,-1.40864,-2.69828,-2.91292,-3.34927
20150420 10:00,0.311445154888542,-1.03511,-2.52804,-2.39118,-2.85349
20150420 11:00,0.333000076203059,0.224217,-2.58159,-0.972189,-2.73551
20150420 12:00,0.408724878963422,1.26501,-3.24823,0.389103,-3.76909
20150420 13:00,0.452035761234372,1.85687,-4.28429,1.43251,-5.48822
20150420 14:00,0.408757792053581,1.81798,-4.79634,1.78179,-6.6918
20150420 15:00,0.351933510462823,1.39759,-4.72274,1.38907,-7.19438
20150420 16:00,0.329742328241299,0.947549,-4.5077,0.474412,-7.3866
20150420 17:00,0.371858552659862,1.1119,-4.24987,0.347623,-7.21797
20150420 18:00,0.325435807495473,1.60663,-3.99512,1.61891,-7.45202
20150420 19:00,0.374258180606542,1.34387,-3.4742,2.15648,-7.25264
20150420 20:00,0.330157839316247,1.33771,-3.03177,2.45924,-6.84068
20150420 21:00,0.344922055142857,1.47678,-2.75939,2.66437,-6.39492
20150420 22:00,0.399817804135093,2.1615,-3.16997,3.71737,-6.70495
20150420 23:00,0.404125414835813,2.41897,-3.40201,4.16219,-7.04695
20150421 00:00,0.356265965189916,2.70023,-3.40824,4.68691,-7.07885
20150421 01:00,0.523734102203781,3.4746,-3.73306,5.6397,-7.18795
20150421 02:00,0.496420898563917,4.09137,-4.16138,6.59588,-7.49519
20150421 03:00,0.70631145155711,3.79564,-4.8195,6.04833,-8.20714
20150421 04:00,0.654959381866395,3.3538,-4.88268,5.28746,-8.55448
20150421 05:00,0.662910515370706,3.74007,-4.65897,5.66565,-8.11805
20150421 06:00,0.689197722392971,4.50945,-4.52797,6.64373,-7.77538
20150421 07:00,0.735768521656159,4.92753,-4.8082,6.69512,-7.1817
20150421 08:00,0.831097071545756,5.07834,-5.3557,6.74095,-7.60698
20150421 09:00,0.898295239385178,5.20554,-6.19266,6.79114,-8.45486
20150421 10:00,0.899701237886281,4.61834,-6.35432,5.91287,-8.47329
20150421 11:00,0.854199527906894,4.89346,-6.84746,6.22904,-8.96884
20150421 12:00,0.890640126633042,4.6673,-6.71891,5.87948,-8.70801
20150421 13:00,0.898480541102979,4.80223,-6.92893,6.07717,-8.94702
20150421 14:00,0.896607153499723,4.65206,-7.11589,5.95342,-9.262
20150421 15:00,0.861660835170564,4.67432,-7.31621,6.04152,-9.72825
20150421 16:00,0.887332879686755,4.65976,-6.45177,6.162,-8.90806
20150421 17:00,0.923592658225534,5.05102,-6.0184,7.06569,-9.11794
20150421 18:00,0.946497167273537,5.84546,-6.78129,8.55227,-10.5332
20150421 19:00,0.866606406953432,5.87744,-4.74321,8.61483,-7.42815
20150421 20:00,0.922602811875056,6.62025,-5.08399,9.65413,-7.97018
20150421 21:00,0.944532739564223,6.98154,-4.80501,9.87309,-7.2776
20150421 22:00,0.956690121398137,7.05323,-5.75797,10.2015,-8.89793
20150421 23:00,0.964700012506355,6.97923,-6.10912,10.4617,-10.2314
20150422 00:00,0.954994010421762,6.52397,-6.70479,9.43645,-10.6517
20150422 01:00,0.952425617008245,3.98428,-8.31745,5.75109,-13.4255
20150422 02:00,0.922649749136054,2.49873,-7.85884,3.54874,-12.9452
20150422 03:00,0.89756819761534,1.09971,-6.82722,1.30519,-11.193
20150422 04:00,0.823657464086803,0.710194,-5.33415,0.6885,-9.18017
20150422 05:00,0.730980876870078,0.555459,-4.60447,0.552635,-8.08455
20150422 06:00,0.60420787767912,0.508294,-4.27248,0.315403,-6.70395
20150422 07:00,0.653097687587184,0.852768,-4.03431,0.814435,-5.60619
20150422 08:00,0.691650749246561,1.56765,-4.2091,1.63488,-5.58077
20150422 09:00,0.649159304394707,2.44068,-4.60021,2.84398,-6.15868
20150422 10:00,0.52151158317672,2.63361,-5.02121,3.18369,-6.70664
20150422 11:00,0.480808202439865,2.45962,-5.01091,2.94031,-6.66818
20150422 12:00,0.568588028960876,2.80193,-4.70398,3.3415,-6.25343
20150422 13:00,0.572991563973717,3.1121,-4.84433,3.82705,-6.44953
20150422 14:00,0.571792089152536,3.13762,-4.63178,3.91307,-6.30478
20150422 15:00,0.618137834128591,3.40349,-4.22037,4.28593,-5.90931
20150422 16:00,0.62191844670741,3.78993,-3.98748,4.77596,-5.61006
20150422 17:00,0.56980368888858,4.21415,-3.98629,5.53644,-5.84415
20150422 18:00,0.674471779524568,4.32119,-3.68398,6.21642,-6.2684
20150422 19:00,0.566215368255595,4.20094,-3.86501,6.19791,-6.75539
20150422 20:00,0.491112366209121,4.11324,-4.12757,6.17077,-7.24761
20150422 21:00,0.584721847539228,4.15937,-4.68794,6.17197,-8.05989
20150422 22:00,0.628993648244154,3.93755,-5.03566,5.80281,-8.55671
20150422 23:00,0.633518302715333,3.73223,-4.71468,5.56526,-8.20332
20150423 00:00,0.599650335331608,3.85191,-4.422,5.82134,-7.67749
20150423 01:00,0.6100781436508,3.65895,-3.20087,5.63784,-5.78045
20150423 02:00,0.680200395057626,3.57108,-3.32074,5.57431,-5.92656
20150423 03:00,0.703558582379484,3.56321,-3.15969,5.55595,-5.65141
20150423 04:00,0.706334612688167,3.82952,-2.74583,6.01044,-4.99727
20150423 05:00,0.55157221430657,4.30061,-2.89439,6.47416,-4.79555
20150423 06:00,0.376546307976191,5.34082,-3.87573,7.35611,-5.74798
20150423 07:00,0.488553754217931,5.60159,-3.97077,7.41052,-5.40059
20150423 08:00,0.649235437483267,5.73287,-3.94631,7.43095,-5.2644
20150423 09:00,0.567849711813664,5.61375,-3.73955,7.53796,-5.2278
20150423 10:00,0.490540341404164,5.7198,-3.31585,7.58002,-4.77913
20150423 11:00,0.564184879991125,5.6106,-2.94146,7.418,-4.35124
20150423 12:00,0.559304352219936,5.47192,-2.89411,7.22666,-4.30816
20150423 13:00,0.58607477321093,5.37747,-2.88197,7.03054,-4.19848
20150423 14:00,0.551606190306781,5.27868,-2.83382,6.82482,-4.07049
20150423 15:00,0.479716441452496,5.14122,-2.23314,6.68526,-3.34658
20150423 16:00,0.417391220289722,5.49147,-1.38049,7.22486,-2.25118
20150423 17:00,0.450985080577253,6.17176,-1.06171,8.2993,-1.78792
20150423 18:00,0.45304775126747,6.07993,-1.32396,8.65154,-2.30406
20150423 19:00,0.523597325923739,5.42185,-1.63402,7.91508,-2.83998
20150423 20:00,0.553591864895153,4.83648,-1.59819,6.9896,-2.80464
20150423 21:00,0.478573245455962,4.38711,-1.3689,6.38196,-2.56174
20150423 22:00,0.299628298361389,4.03265,-0.981168,5.85052,-1.87543
20150423 23:00,0.262075587790756,4.17117,-0.626147,5.99276,-1.32202
20150424 00:00,0.401896781285482,4.18635,-0.0600312,6.09277,-0.483204
20150424 01:00,0.509730462483434,4.49828,0.827476,5.95828,1.02455
20150424 02:00,0.482300423878274,4.18182,1.05227,5.54673,1.29393
20150424 03:00,0.416132170596688,4.20502,1.31455,5.55394,1.64089
20150424 04:00,0.339834699817419,4.06648,1.07494,5.5797,1.41053
20150424 05:00,0.249795899625057,3.95844,0.768211,5.29691,0.900177
20150424 06:00,0.303741326894966,3.41927,0.976389,4.2821,1.11449
20150424 07:00,0.260790552023411,2.66422,1.96229,3.23546,2.32393
20150424 08:00,0.224935220987212,2.78434,2.94181,3.35675,3.56393
20150424 09:00,0.249405140705979,2.80549,3.25517,3.38488,3.98782
20150424 10:00,0.396230380885902,3.16707,3.55657,3.82891,4.39027
20150424 11:00,0.514576645154539,3.12146,3.89726,3.82216,4.83376
20150424 12:00,0.534994529586328,3.16623,4.36425,3.9403,5.47444
20150424 13:00,0.507302357797573,3.10648,4.6543,3.85835,5.88717
20150424 14:00,0.524474045692244,3.30892,4.38918,4.10426,5.57522
20150424 15:00,0.620917451403298,3.27866,4.19585,4.14969,5.3689
20150424 16:00,0.647313352140483,2.61985,4.53982,3.40551,5.77291
20150424 17:00,0.588204711085793,2.522,4.98188,3.35425,6.40863
20150424 18:00,0.453421209716355,2.05598,4.78992,2.99829,6.3569
20150424 19:00,0.502441383509692,1.61949,4.5519,2.91152,6.61333
20150424 20:00,0.516242238207649,1.12148,4.29271,2.80421,6.87609
20150424 21:00,0.46705514233278,1.24094,4.31938,3.18333,7.2136
20150424 22:00,0.351336113855838,1.6725,4.17854,3.90425,6.90683
20150424 23:00,0.340754993453939,1.43848,3.68694,3.69881,6.25976
20150425 00:00,0.383487894578887,1.39077,3.86657,3.56685,6.59905
20150425 01:00,0.179160067883698,0.91335,4.05392,2.76702,6.99537
20150425 02:00,0.350975926474956,0.510386,4.68649,2.13908,7.95226
20150425 03:00,0.395250065875425,0.893685,5.60448,2.526,9.0045
20150425 04:00,0.533356187062629,1.4907,5.73405,3.33269,9.25453
20150425 05:00,0.661036904620626,2.12477,5.60521,4.18272,8.54404
20150425 06:00,0.591060966450166,3.09348,4.82261,5.83737,7.24231
20150425 07:00,0.611761734024104,4.1151,4.24631,6.43193,5.74918
20150425 08:00,0.563819313838321,4.07566,4.41156,6.14277,5.90249
20150425 09:00,0.753063383068325,4.48127,5.23815,6.63205,7.1049
20150425 10:00,0.768488428920628,4.17608,5.77719,6.30877,7.91504
20150425 11:00,0.815522360696966,3.73182,6.08989,6.03902,8.90072
20150425 12:00,0.801139189305762,3.24978,5.90752,5.86797,9.3732
20150425 13:00,0.741411551528309,3.90644,6.17677,6.45108,9.25648
20150425 14:00,0.793947157451741,4.87236,5.80222,7.58109,8.22438
20150425 15:00,0.834339946592376,5.53589,5.3409,8.02253,7.24182
20150425 16:00,0.81275980706067,5.46925,5.24865,7.94089,7.18689
20150425 17:00,0.791559689312205,5.27141,4.90724,7.87389,6.6942
20150425 18:00,0.757090342722428,4.54954,4.53194,7.63446,6.60645
20150425 19:00,0.723464912336826,4.63322,4.37632,7.474,6.21746
20150425 20:00,0.576987114002784,4.96862,3.67783,8.06965,5.15644
20150425 21:00,0.639704059300264,5.46958,2.76467,8.52796,3.78039
20150425 22:00,0.439382011589872,4.97897,0.0826378,7.23776,0.0147924
20150425 23:00,0.373904211016841,3.96384,-2.43004,5.24071,-3.29476
20150426 00:00,0.360775253227929,3.68223,-2.93135,4.92041,-4.0633
20150426 01:00,0.382713251249813,2.4305,-3.14653,3.44059,-4.64153
20150426 02:00,0.355997192923295,2.11291,-2.7724,3.021,-4.19752
20150426 03:00,0.295456622060889,2.00137,-2.02093,3.03691,-3.33309
20150426 04:00,0.349691700610719,1.68822,-1.44402,2.83795,-2.65073
20150426 05:00,0.351738598517892,1.65209,-1.71514,2.65182,-2.85645
20150426 06:00,0.330557541792044,1.82808,-2.32711,2.46427,-3.22762
20150426 07:00,0.188364051172936,1.81769,-2.54035,2.16593,-3.09541
20150426 08:00,0.127142071421512,1.75565,-2.47603,2.02884,-2.99126
20150426 09:00,0.0866348158087625,1.84045,-2.31505,2.11158,-2.76791
20150426 10:00,0.112713714359716,1.6965,-2.57359,1.94557,-3.09823
20150426 11:00,0.184588579063286,1.83179,-2.78527,2.11604,-3.36955
20150426 12:00,0.246641364182646,2.12856,-2.78324,2.45655,-3.36973
20150426 13:00,0.26602229778577,2.46701,-2.90249,2.86621,-3.51728
20150426 14:00,0.344320616893124,3.00041,-2.97198,3.54637,-3.60765
20150426 15:00,0.387469951921664,3.10872,-3.17196,3.75782,-3.89209
20150426 16:00,0.285786252719709,2.86083,-2.90519,3.47486,-3.58806
20150426 17:00,0.217017202616456,2.62186,-2.28626,3.20607,-2.86228
20150426 18:00,0.175805382966946,2.12793,-1.60007,3.0238,-2.40481
20150426 19:00,0.0959660048899412,2.20545,-1.3528,3.01864,-2.07043
20150426 20:00,0.158007616140293,2.54109,-0.968903,2.97165,-1.37376
20150426 21:00,0.121717097275711,2.73526,-0.459686,3.14036,-0.792548
20150426 22:00,0.187574816812638,3.03364,-0.207792,3.48133,-0.481684
20150426 23:00,0.186162060733687,3.30504,-0.189632,3.93604,-0.442747
20150427 00:00,0.240813920940382,3.50056,-0.171184,4.16485,-0.407254
20150427 01:00,0.23978821958978,3.08494,0.972719,5.04788,1.30781
20150427 02:00,0.190919077508208,3.22177,0.48295,5.78745,0.680113
20150427 03:00,0.166163859149651,3.1981,0.361526,5.73218,0.374758
20150427 04:00,0.0820742772115626,3.04293,0.898516,5.48725,1.28659
20150427 05:00,0.349460425430662,3.33223,1.3405,5.69035,2.04462
20150427 06:00,0.526301057653241,3.96733,1.44828,5.61451,1.88583
20150427 07:00,0.370817043929873,4.49889,1.52656,5.73056,1.84727
20150427 08:00,0.483423090896214,6.21331,1.22546,7.78022,1.51762
20150427 09:00,0.424062898249888,6.77138,-0.765986,8.5179,-1.0058
20150427 10:00,0.582058583597867,6.29009,-2.37595,7.84851,-3.03099
20150427 11:00,0.667611013277487,6.7451,-2.22247,8.38539,-2.8362
20150427 12:00,0.694988768091242,6.94827,-1.76755,8.65914,-2.25882
20150427 13:00,0.6467326737587,7.01858,-1.50975,8.77718,-1.99152
20150427 14:00,0.970698334212489,7.2145,-1.55019,9.10671,-2.06665
20150427 15:00,0.726767696065003,7.22718,-2.36586,9.18979,-3.08596
20150427 16:00,0.618769466122052,7.3631,-2.92099,9.46078,-3.84597
20150427 17:00,0.61146410233019,6.7482,-3.05445,8.79951,-4.07879
20150427 18:00,0.607880575443734,6.06654,-2.9445,8.15324,-4.08804
20150427 19:00,0.61165804356339,5.48522,-2.90547,7.79923,-4.26783
20150427 20:00,0.676183771455886,5.25434,-3.00918,7.65991,-4.52212
20150427 21:00,0.744230872330429,4.95581,-2.97999,7.34813,-4.56198
20150427 22:00,0.49589815020327,4.45544,-2.89784,6.67876,-4.50034
20150427 23:00,0.395554380138772,3.81162,-2.49112,5.91112,-4.0341
20150428 00:00,0.245565961041521,3.16862,-1.75567,5.29641,-3.13824
20150428 01:00,0.158092117867128,2.78542,-1.34387,4.81826,-2.57076
20150428 02:00,0.174887015483229,2.76828,-1.04111,4.26005,-1.82293
20150428 03:00,0.168549541328374,2.82821,-0.630711,3.68982,-1.00224
20150428 04:00,0.0831553013103077,2.97402,0.204621,3.41569,0.0634499
20150428 05:00,0.0927445888602466,2.0659,1.05016,2.84647,1.18689
20150428 06:00,0.233952367887786,1.58183,1.75499,2.4047,2.2783
20150428 07:00,0.222052485365502,2.32395,2.57857,2.84303,3.11056
20150428 08:00,0.477687402949982,2.91696,3.50571,3.59778,4.28733
20150428 09:00,0.62010097904598,2.99944,4.61858,3.72252,5.73604
20150428 10:00,0.62659807690203,3.30491,5.37025,4.17361,6.76617
20150428 11:00,0.637091838001877,3.30765,5.39896,4.20798,6.83896
20150428 12:00,0.72187705232189,3.76387,5.57261,4.79191,7.07728
20150428 13:00,0.708508754142365,3.67748,5.98446,4.67201,7.60556
20150428 14:00,0.795090954221794,3.76657,6.34625,4.74162,8.13534
20150428 15:00,0.704691251995459,4.20107,5.97287,5.41278,7.7022
20150428 16:00,0.748396314748058,4.73422,4.51727,6.09529,5.83254
20150428 17:00,0.756355354780029,5.05166,3.05665,6.66483,3.87208
20150428 18:00,0.853153877080628,5.93251,1.44172,8.26492,1.86759
20150428 19:00,0.817051357958862,5.77982,1.00034,8.57122,1.30501
20150428 20:00,0.844202354396038,5.33115,1.01104,8.06426,1.36352
20150428 21:00,0.804732053334715,5.63438,1.30098,8.55105,1.78978
20150428 22:00,0.832924647365964,5.76205,1.68204,8.69157,2.27772
20150428 23:00,0.80539458327688,5.89799,2.21525,8.75392,3.13017
20150429 00:00,0.675004213586226,6.51552,1.64195,9.59275,2.40367
20150429 01:00,0.81835324208562,6.01002,1.99697,9.00319,2.80697
20150429 02:00,0.680650979873327,5.25956,1.88157,8.10879,2.7167
20150429 03:00,0.792241198083653,5.17198,2.16788,8.06217,3.05431
20150429 04:00,0.54537740189765,4.93596,2.13349,7.75985,3.18503
20150429 05:00,0.64685292904104,4.74134,2.54083,7.25748,3.6784
20150429 06:00,0.775080719204488,3.82781,3.3327,5.58004,4.62301
20150429 07:00,0.720590550934644,3.33727,4.31597,4.51453,5.60907
20150429 08:00,0.639559517037489,3.20252,4.85415,4.38457,6.25958
20150429 09:00,0.693593082521411,3.77254,5.24631,5.0927,6.76903
20150429 10:00,0.73996310738406,5.06925,6.13481,6.79938,8.04825
20150429 11:00,0.795873736039536,5.1644,6.60743,7.13584,8.91534
20150429 12:00,0.780289120907992,4.46478,6.38267,6.1093,8.54131
20150429 13:00,0.821551401547018,2.89208,7.17966,3.91143,9.48981
20150429 14:00,0.836405691483907,2.7591,8.45864,3.8181,11.2699
20150429 15:00,0.803163705934933,3.25923,8.30303,4.4876,11.1284
20150429 16:00,0.746515997434647,1.98285,7.54403,2.9004,10.3246
20150429 17:00,0.767709057329395,0.983586,7.30334,1.6703,10.1579
20150429 18:00,0.778963820751124,0.571607,7.70204,1.23332,11.0911
20150429 19:00,0.813810809385218,0.276755,7.59773,0.744698,11.2299
20150429 20:00,0.765167734540906,1.9201,7.91107,2.95065,11.93
20150429 21:00,0.832691539592159,3.1813,6.55494,5.02153,9.6216
20150429 22:00,0.890294343610444,3.41606,5.6349,5.26466,8.27863
20150429 23:00,0.830544536106825,3.39373,4.75219,5.1755,7.0298
20150430 00:00,0.660910946047611,3.59959,3.55024,5.70035,5.42887
20150430 01:00,0.636486900934206,2.67369,3.27834,4.12121,4.76935
20150430 02:00,0.630261145059364,2.86991,3.0297,4.44138,4.57747
20150430 03:00,0.620970657514148,2.61681,2.36367,4.62298,3.80646
20150430 04:00,0.582017089744611,2.08312,2.36953,4.11632,3.92669
20150430 05:00,0.475958615326989,2.28608,3.03078,4.10406,4.62433
20150430 06:00,0.542948062778226,2.85473,3.71766,4.30415,5.10167
20150430 07:00,0.541256246941727,3.07061,4.09482,4.11321,5.18942
20150430 08:00,0.612041060927957,2.91865,4.146,3.83497,5.19916
20150430 09:00,0.573992698843476,2.63517,4.65343,3.45372,5.84766
20150430 10:00,0.69256244836092,2.17072,5.44985,2.84484,6.89058
20150430 11:00,0.80800008771077,2.09457,6.24864,2.77476,7.94792
20150430 12:00,0.892056426443356,1.23345,6.45802,1.82452,8.29775
20150430 13:00,0.847469111170742,1.84758,6.65676,2.57083,8.69811
20150430 14:00,0.535037412883976,3.15073,5.83672,4.29167,7.58257
20150430 15:00,0.553698471384046,2.78739,4.78658,3.70239,6.12606
20150430 16:00,0.527836709276882,2.35063,4.648,3.17899,5.94407
20150430 17:00,0.51194441814878,2.23795,4.3476,3.07123,5.64466
20150430 18:00,0.475857941489516,2.19506,3.69057,3.0263,4.936
20150430 19:00,0.699321212899559,0.566204,2.85495,1.50629,4.74934
20150430 20:00,0.469148583338568,-0.24372,3.01017,0.193128,5.3274
20150430 21:00,0.715866672544526,0.0150099,4.01532,0.732766,6.64412
20150430 22:00,0.716348204662464,0.252722,4.1619,0.887844,6.72073
20150430 23:00,0.637611555387899,0.338711,3.85937,1.06071,6.28327
20150501 00:00,0.334257221981275,0.426585,3.28875,1.33305,5.57168
20150501 01:00,0.142047746875219,-0.483337,1.96892,-0.027916,3.6285
20150501 02:00,0.0561817988535206,-0.754624,1.89763,0.128438,2.38092
20150501 03:00,0.00206828181625146,-1.05649,0.171244,-0.395574,0.554354
20150501 04:00,0.00610557588974947,-1.66658,-0.910687,-1.49436,-1.00248
20150501 05:00,0.0136448294814443,-1.75333,-1.23352,-2.18718,-1.84739
20150501 06:00,0.00760959401848697,-2.13166,-1.34362,-2.99661,-1.89554
20150501 07:00,0.00782589180938498,-2.11428,-1.54474,-2.62169,-1.8014
20150501 08:00,0.0328576271180845,-1.46818,-2.0667,-1.91451,-2.33545
20150501 09:00,0.21169124594984,-0.561352,-2.3563,-0.928322,-2.63858
20150501 10:00,0.140015586548308,0.379503,-2.93691,0.223379,-3.36131
20150501 11:00,0.10385375901821,0.636488,-3.74313,0.506289,-4.41172
20150501 12:00,0.150614744763223,1.12081,-4.10048,1.0662,-4.95539
20150501 13:00,0.240075415944061,2.58653,-4.21248,2.87934,-5.24391
20150501 14:00,0.367505485946406,3.12002,-4.56747,3.93066,-5.73705
20150501 15:00,0.496986760292188,2.73375,-5.24792,3.35423,-6.73047
20150501 16:00,0.555924072525643,2.17961,-5.90644,2.73249,-7.78828
20150501 17:00,0.589143857292588,1.47674,-5.5777,1.82011,-7.47078
20150501 18:00,0.588666730665899,1.36322,-4.64013,1.7689,-6.50759
20150501 19:00,0.498174868438493,1.46736,-3.77188,2.22106,-6.20858
20150501 20:00,0.477519974176346,1.43885,-3.21839,2.37116,-5.70697
20150501 21:00,0.459032239238908,1.57243,-2.92968,2.62268,-5.30915
20150501 22:00,0.404547747193702,2.21364,-3.01959,3.59687,-5.22804
20150501 23:00,0.341124221398208,2.83464,-3.37546,4.40127,-5.47123
20150502 00:00,0.344123663823745,3.31483,-3.52871,5.10274,-5.67659
20150502 01:00,0.421659595006265,1.89484,-3.44434,3.08096,-5.91708
20150502 02:00,0.444182351266649,2.26066,-3.76441,3.61818,-6.28922
20150502 03:00,0.568569145012267,2.46465,-4.00856,3.88452,-6.55089
20150502 04:00,0.572449513327728,2.59805,-3.92415,4.09497,-6.42327
20150502 05:00,0.589155793879437,3.13379,-3.95334,4.61256,-5.98387
20150502 06:00,0.542975199795997,3.60737,-4.06466,4.72373,-5.43451
20150502 07:00,0.577260489858653,3.78795,-3.98832,4.70696,-5.0714
20150502 08:00,0.494110233449355,4.0446,-3.47305,4.95796,-4.37089
20150502 09:00,0.486241285136051,4.23319,-2.96084,5.15861,-3.71765
20150502 10:00,0.515290300144567,4.3827,-2.6526,5.32793,-3.34134
20150502 11:00,0.487336545733324,4.80225,-2.68872,5.83878,-3.3484
20150502 12:00,0.556327803670235,5.01127,-2.86273,6.10142,-3.55692
20150502 13:00,0.538056956092224,4.98645,-2.41959,6.08332,-3.02312
20150502 14:00,0.565878471260143,4.92122,-2.30208,6.01369,-2.86856
20150502 15:00,0.522738425220018,4.81727,-2.70637,5.91229,-3.3917
20150502 16:00,0.332186890937827,4.53039,-2.82473,5.58763,-3.5585
20150502 17:00,0.314986397803293,4.19987,-2.63386,5.219,-3.37085
20150502 18:00,0.297504498405927,3.70047,-2.36565,4.85474,-3.21429
20150502 19:00,0.145907782116108,2.80543,-1.95002,4.43324,-3.1962
20150502 20:00,0.102937069153827,2.21668,-1.84079,3.79818,-3.32656
20150502 21:00,0.0482129970648592,2.26832,-1.76403,3.03156,-2.64648
20150502 22:00,0.0160863707443752,2.36073,-1.18464,2.54406,-1.6986
20150502 23:00,0.000923572644149878,1.9566,-0.724978,1.98404,-1.02888
20150503 00:00,0.000959913868256604,1.49186,-0.198696,1.51176,-0.357513
20150503 01:00,0.0185544047870004,-0.0240078,-0.385082,0.0857315,-0.249739
20150503 02:00,0.0376720849545171,-1.04559,-0.545545,-0.979436,-0.418709
20150503 03:00,0.0682356918805383,-2.41967,-0.429528,-2.30706,-0.27851
20150503 04:00,0.122676872721538,-2.85647,0.0662233,-3.73427,0.401482
20150503 05:00,0.163844090280594,-2.65824,0.34647,-4.81749,1.09337
